match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR,out/not_out,match_id
England Vs Bangladesh,England,5,Harry Brook,c Litton Das b Mahedi Hasan,20,15,3,0,133.33,out,ODI # 4664
England Vs Bangladesh,England,6,Liam Livingstone, b Shoriful Islam,0,1,0,0,0.00,out,ODI # 4664
England Vs Bangladesh,England,7,Sam Curran,c Najmul Hossain Shanto b Mahedi Hasan,11,15,1,0,73.33,out,ODI # 4664
England Vs Bangladesh,England,8,Chris Woakes,c Mahedi Hasan b Taskin Ahmed,14,11,2,0,127.27,out,ODI # 4664
England Vs Bangladesh,England,9,Adil Rashid,c Najmul Hossain Shanto b Mahedi Hasan,11,7,1,0,157.14,out,ODI # 4664
England Vs Bangladesh,England,10,Mark Wood,,6,5,1,0,120.00,not_out,ODI # 4664
England Vs Bangladesh,England,11,Reece Topley,,1,2,0,0,50.00,not_out,ODI # 4664
England Vs Bangladesh,Bangladesh,1,Litton Das,c †Buttler b Woakes,76,66,7,2,115.15,out,ODI # 4664
England Vs Bangladesh,Bangladesh,2,Tanzid Hasan,c Bairstow b Topley,1,2,0,0,50.00,out,ODI # 4664
England Vs Bangladesh,Bangladesh,3,Najmul Hossain Shanto,c Livingstone b Topley,0,1,0,0,0.00,out,ODI # 4664
England Vs Bangladesh,Bangladesh,4,Shakib Al Hasan(c), b Topley,1,9,0,0,11.11,out,ODI # 4664
England Vs Bangladesh,Bangladesh,5,Mehidy Hasan Miraz,c †Buttler b Woakes,8,7,1,0,114.28,out,ODI # 4664
England Vs Bangladesh,Bangladesh,6,Mushfiqur Rahim†,c Rashid b Topley,51,64,4,0,79.68,out,ODI # 4664
England Vs Bangladesh,Bangladesh,7,Towhid Hridoy,c †Buttler b Livingstone,39,61,2,0,63.93,out,ODI # 4664
England Vs Bangladesh,Bangladesh,8,Mahedi Hasan, b Rashid,14,32,1,0,43.75,out,ODI # 4664
England Vs Bangladesh,Bangladesh,9,Taskin Ahmed, b Curran,15,25,0,1,60.00,out,ODI # 4664
England Vs Bangladesh,Bangladesh,10,Shoriful Islam, b Wood,12,14,2,0,85.71,out,ODI # 4664
England Vs Bangladesh,Bangladesh,11,Mustafizur Rahman,,3,9,0,0,33.33,not_out,ODI # 4664
New Zealand Vs Netherlands,New Zealand,1,Devon Conway,c de Leede b van der Merwe,32,40,5,1,80.00,out,ODI # 4663
New Zealand Vs Netherlands,New Zealand,2,Will Young,c de Leede b van Meekeren,70,80,7,2,87.50,out,ODI # 4663
